table_no,org_name,org_type,x_position,y_position,booth_width,booth_depth,zone,sponsor_tier,offers_on_spot_admission,waives_application_fee,scholarship_info,description,contact_email,contact_phone,website_url
100,ALABAMA A&M UNIVERSITY,hbcu,80,480,40,60,Left Wall,bronze,true,true,Merit-based scholarships available,Historically Black University in Normal Alabama offering diverse programs,admissions@aamu.edu,(256) 372-5245,https://www.aamu.edu
102,ALABAMA STATE UNIVERSITY,hbcu,80,410,40,60,Left Wall,bronze,true,true,Multiple scholarship programs,Public HBCU in Montgomery Alabama with strong academic programs,admissions@alasu.edu,(334) 229-4291,https://www.alasu.edu
104,ALCORN STATE UNIVERSITY,hbcu,80,340,40,60,Left Wall,bronze,true,true,Presidential scholarships available,Mississippi's first Black land-grant university,admissions@alcorn.edu,(601) 877-6147,https://www.alcorn.edu
106,BENEDICT COLLEGE,hbcu,80,270,40,60,Left Wall,bronze,true,true,Academic excellence awards,Private HBCU in Columbia South Carolina since 1870,admissions@benedict.edu,(803) 705-4491,https://www.benedict.edu
108,CALIFORNIA STATE UNIVERSITY FULLERTON,university,80,200,40,60,Left Wall,bronze,true,false,Limited merit aid,Large public university in Southern California,admissions@fullerton.edu,(657) 278-2300,https://www.fullerton.edu
110,CALIFORNIA STATE UNIVERSITY SACRAMENTO,university,80,130,40,60,Left Wall,bronze,true,false,State university aid,California's capital university with diverse programs,admissions@csus.edu,(916) 278-3901,https://www.csus.edu
112,CLARK ATLANTA UNIVERSITY,hbcu,80,60,40,60,Left Wall,gold,true,true,Full tuition scholarships,Private HBCU in Atlanta Georgia known for research,admissions@cau.edu,(404) 880-8000,https://www.cau.edu
200,5 STRONG SCHOLARSHIP FOUNDATION HOUSTON,nonprofit,210,490,60,40,Center-Left,platinum,false,false,Scholarship opportunities for Houston students,Supporting Houston students with college scholarships and resources,info@5strong.org,(713) 555-0100,https://www.5strong.org
202,COLUMBIA COLLEGE CHICAGO,university,210,440,40,40,Center-Left,silver,true,true,Arts scholarships available,Private arts and media college in downtown Chicago,admissions@colum.edu,(312) 369-7130,https://www.colum.edu
203,COMERICA BANK,corporate,250,440,40,40,Center-Left,gold,false,false,Financial literacy programs,Banking and financial services partner,corporate@comerica.com,(800) 925-2160,https://www.comerica.com
204,DELAWARE STATE UNIVERSITY,hbcu,210,395,40,40,Center-Left,bronze,true,true,First generation scholarships,Public HBCU in Dover Delaware with strong STEM programs,admissions@desu.edu,(302) 857-6351,https://www.desu.edu
205,EDWARD WATERS UNIVERSITY,hbcu,250,395,40,40,Center-Left,bronze,true,true,Need-based and merit aid,Oldest HBCU in Florida located in Jacksonville,admissions@ewc.edu,(904) 470-8000,https://www.ewc.edu
206,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY,hbcu,210,350,40,40,Center-Left,gold,true,true,FAMU scholarships available,Premier HBCU in Tallahassee Florida known for excellence,admissions@famu.edu,(850) 599-3796,https://www.famu.edu
207,FOUNDATION CLOTHING,corporate,250,350,40,40,Center-Left,silver,false,false,Student discount programs,Youth apparel and merchandise partner,info@foundationclothing.com,(713) 555-0200,https://www.foundationclothing.com
